epoch,train_loss,val_loss,val_auc
1,1.0823680196817105,1.1271849999825159,0.7232137004304503
2,0.9755335026062452,1.1366687287886938,0.717314404747305
3,0.9283291005935425,1.1921075741449991,0.7247985767356777
4,0.8927368621031443,1.2202183296283087,0.7155850915839199
5,0.8533871433673761,1.209080797433853,0.718211209313633
6,0.8244912108549705,1.2453096767266592,0.7217113390878909
7,0.7959166318178177,1.2721396257479987,0.7186404711295085
8,0.7366156119566697,1.3341789414485297,0.7197902877521845
9,0.7010492265988619,1.3448543737332026,0.7121546977458915
10,0.6793351368262217,1.3793200343847274,0.7203256484267734
11,0.6580915252367655,1.5070719887812933,0.7101872082920987
12,0.6161110179546552,1.4996928870677948,0.7119891106050676
13,0.6009275720287592,1.6057928174734115,0.7100197948645558
14,0.5806567787359922,1.602182220419248,0.7073187316705251
15,0.5735344495146703,1.5844912469387054,0.7089062932883128
16,0.5484806836033479,1.634518763422966,0.7098914722599309
17,0.535206261353615,1.6430587391058604,0.7104810744929286
18,0.5281816466878622,1.6855959703524908,0.7076718595645332
19,0.5210946431526771,1.7175502161184946,0.7090534124291915
20,0.5097429083708005,1.7387643098831176,0.7084678789218682
21,0.5066284287052277,1.7492454141378402,0.7075267762529214
22,0.49463117657563627,1.7883709609508514,0.7062125804945645
23,0.4923148716871555,1.7940608481566112,0.705300122188878
24,0.48808562220671237,1.7971652537584304,0.705635847411658
25,0.48617979215505797,1.7945021281639735,0.704902426069004
26,0.4852791497340569,1.8223005016644795,0.705153822387784
27,0.48137322010902256,1.8232116162776948,0.7049844619029254
28,0.4762831920614609,1.831197041273117,0.704506069162948
29,0.4790916750446344,1.8256730963786443,0.7045194418193095
30,0.4745070479619197,1.8418857008218765,0.7056395123318716
