epoch,train_loss,val_loss,val_auc
1,2.718722808591039,1.624061886502915,0.5190437033491876
2,1.817886610314777,1.324988465599653,0.580573964335236
3,1.4561493464796489,1.2039406868089146,0.6478192276867988
4,1.222879237684023,1.1713310873308103,0.6841244448911495
5,1.1237936665774158,1.1415226777561573,0.7093554047879714
6,1.0602573388259127,1.133875589410798,0.7151309185524848
7,1.003130203370496,1.1745706268218385,0.7199188168128129
8,0.955616760004755,1.1858939012559522,0.7210772365420396
9,0.8936161373014235,1.2114793908696215,0.7176771378935414
10,0.8455910500606156,1.2619403189971667,0.7188356645531735
11,0.79022385290198,1.274087611241501,0.7170857492700569
12,0.7362362803753549,1.3270208104317929,0.7181898569559966
13,0.6826082885361178,1.3984711378061472,0.7159187670326992
14,0.6485261287528219,1.4520664415439637,0.7145247369532168
15,0.6049138420168609,1.5396401112069602,0.7142275598965616
16,0.5823121562935532,1.6012885393966145,0.7128832812768537
17,0.5618581009064456,1.6157233517210023,0.7135587997860231
18,0.5424297746642226,1.650968622384953,0.7130311359900513
19,0.530718405961607,1.6681912984667706,0.7130377942515403
20,0.5351329899581683,1.6733025457678723,0.7123476725615211
