epoch,train_loss,val_loss,val_auc
1,1.2289606072435426,1.192541693869796,0.671040351788722
2,1.0467082464874689,1.2038511473965732,0.6869171394052683
3,0.9330371608806016,1.287125699978512,0.6912697320047688
4,0.807044225044586,1.3388390588108205,0.6855231740513396
5,0.6634776520788969,1.52638105409262,0.6784363515929329
6,0.5211861084034695,1.7083816942668224,0.6693064945594632
7,0.3770016274949414,2.1682570280917752,0.6637841467171182
8,0.2611030130327946,2.5547883564558296,0.6421137047641391
9,0.1811946763438945,3.010106054812215,0.6433626309861585
10,0.12633371039195426,3.4622893899734053,0.6353981765217055
11,0.08559347990394836,4.0884770387612175,0.6232893263947121
12,0.05731399912901934,4.565038664131252,0.6191534207230036
13,0.038033669798274584,5.058224244803574,0.6138089583502548
14,0.02538418068080186,5.396047745093013,0.6159775850098942
15,0.017582775517109427,5.709482916129625,0.6156961964368561
16,0.013067008119975052,6.042464070152422,0.6116100153454044
17,0.010296705799708471,6.247977731650453,0.6099941800759535
18,0.008880912504409295,6.305886377192453,0.6097830557035103
19,0.008088002197009198,6.349134577959502,0.6093641428038595
