Modelo,Paradigma,ROC-AUC Macro,PR-AUC Macro,F1 Macro (opt),LRAP,Hamming Loss,Delta_Baseline,ROC-AUC Micro,PR-AUC Micro,F1 Micro (opt),F1 Macro (0.5),F1 Samples (0.5),Spearman rho,Spearman p,n_valid_clases
VGG-ish Baseline (MediaEval 2021),Supervisado (referencia),0.725,–,–,–,–,0.0,,,,,,,,
PANNs CNN14,Fine-Tuning Supervisado,0.7471068986272545,0.1293457563600165,0.1799797183392015,0.2571927439857187,0.22561881832639638,0.022106898627254568,0.7725263262909761,0.12371970767215902,0.17828621956948243,0.12930203811155197,0.14148222251432813,-0.12949861588615372,0.3414849206751148,56.0
AST Transformer,Fine-Tuning Supervisado,0.719736196398127,0.11619634593340146,0.16194755203932,0.23461530663048213,0.24385788510149062,-0.005263803601872952,0.7484107786848588,0.09560665696236721,0.17693940979167308,0.12058447134182661,0.12676243871666093,-0.11661369158183066,0.3920529801466742,56.0
Late Fusion Multimodal,Fine-Tuning Supervisado,0.7518126253164515,0.1382316676325395,0.17985508919081242,0.26002560904632716,0.2389746383633312,0.026812625316451566,0.765315837703615,0.12478623705081823,0.1734570391286809,0.12737613936442632,0.13531615626073343,-0.16217232314061739,0.23242360039085283,56.0
CLAP,Zero-Shot,0.6303160043209064,0.06168048591168212,0.0818011092885614,0.16197572215687764,0.46368811315992936,-0.0946839956790936,0.6374744525503795,0.053695450516931156,0.08292976473622374,0.0818011092885614,0.0800816406850507,-0.03281802508780296,0.1595855395783445,56.0
