Modelo,ROC-AUC Macro,ROC-AUC Micro,PR-AUC Macro,PR-AUC Micro,LRAP,F1 Macro (opt),F1 Micro (opt),F1 Macro (0.5),F1 Samples (0.5),Hamming Loss,Spearman rho,Spearman p,n_valid_clases,Delta_Baseline
AST + PANNs + Whisper  ★ Full,0.7518126253164515,0.765315837703615,0.1382316676325395,0.12478623705081823,0.26002560904632716,0.17985508919081242,0.1734570391286809,0.12737613936442632,0.13531615626073343,0.2389746383633312,-0.16217232314061739,0.23242360039085283,56,0.026812625316451566
AST + PANNs,0.7346643349592166,0.7215564984056484,0.12297820513544774,0.08884001616672953,0.2105194720946746,0.1681191254267857,0.15966484892456762,0.11952796861825986,0.12232517052133614,0.2388784956876004,-0.17194709330251762,0.20509270554889028,56,0.009664334959216592
AST + Whisper,0.7516574612345115,0.7519835313468464,0.1404861441276754,0.12129625710831099,0.24852632901249655,0.17972144384505895,0.16664696285437305,0.12050957216010894,0.12570563270609336,0.26322262237159944,-0.16658122296888705,0.21980041614154328,56,0.026657461234511515
PANNs + Whisper,0.7182603068272896,0.6388059869339237,0.1080729979728595,0.05448295631935179,0.13517305828041984,0.14910711312143307,0.1456555383594959,0.06468276190728409,0.08504887479914251,0.1808884384426489,-0.14778358804215586,0.27705906489252946,56,-0.006739693172710393
Solo AST,0.7334972736968908,0.6977514781052605,0.12223800350131743,0.07917087767399997,0.1859350375736578,0.16459291916491436,0.14554971611895565,0.11290656581071233,0.10950004674396327,0.2626617900965032,-0.17580915284200965,0.1949466106784726,56,0.008497273696890795
Solo PANNs,0.7028223360548801,0.5851408928379461,0.09444460873316585,0.04124715872046051,0.10623929969739357,0.133110149244551,0.11740845430300707,0.04574139613112612,0.08367956110111349,0.16407548802422794,-0.10137051853215408,0.457241888645034,56,-0.022177663945119885
Solo Whisper,0.6682604020988742,0.5699919208622909,0.07532818043910286,0.03815627809130279,0.0970952966512796,0.11176446077088954,0.11032427446249911,0.03268347637476322,0.05870951526657896,0.2217010042903669,-0.1433746882138862,0.2918018198245603,56,-0.056739597901125816
