Modelo,ROC-AUC Macro,ROC-AUC Micro,PR-AUC Macro,PR-AUC Micro,LRAP,F1 Macro (opt),F1 Micro (opt),F1 Macro (0.5),F1 Samples (0.5),Hamming Loss,Spearman rho,Spearman p,n_valid_clases,Delta_Baseline
PANNs CNN14 [30-60s],0.7420022512199406,0.764006671694197,0.12614565177428003,0.1179727654426843,0.24979715800515467,0.17727799251722062,0.17641341325125548,0.1236542671085646,0.13767851276814821,0.2337268506463592,-0.059161283742130394,0.6649298504643506,56,0.01700225121994059
AST Transformer [30-60s],0.7286940775635432,0.7455472328887928,0.11564748640175508,0.09404441393568189,0.22594414609566177,0.16518348668145066,0.14063171222501075,0.11389887731320573,0.1230111816297061,0.25462185883851635,-0.14511774163436492,0.2859132008051966,56,0.00369407756354323
