Modelo,ROC-AUC Macro,ROC-AUC Micro,PR-AUC Macro,PR-AUC Micro,LRAP,F1 Macro (opt),F1 Micro (opt),F1 Macro (0.5),F1 Samples (0.5),Hamming Loss,Spearman rho,Spearman p,n_valid_clases,Delta_Baseline
PANNs CNN14,0.7471068986272545,0.7725263262909761,0.1293457563600165,0.12371970767215902,0.2571927439857187,0.1799797183392015,0.17828621956948243,0.12930203811155197,0.14148222251432813,0.22561881832639638,-0.12949861588615372,0.3414849206751148,56,0.022106898627254568
AST Transformer,0.719736196398127,0.7484107786848588,0.11619634593340146,0.09560665696236721,0.23461530663048213,0.16194755203932,0.17693940979167308,0.12058447134182661,0.12676243871666093,0.24385788510149062,-0.11661369158183066,0.3920529801466742,56,-0.005263803601872952
Late Fusion Multimodal,0.7518126253164515,0.765315837703615,0.1382316676325395,0.12478623705081823,0.26002560904632716,0.17985508919081242,0.1734570391286809,0.12737613936442632,0.13531615626073343,0.2389746383633312,-0.16217232314061739,0.23242360039085283,56,0.026812625316451566
