epoch,train_loss,val_loss,val_auc
1,2.524783487871912,1.824457666703633,0.5085542094842593
2,2.1225969153201847,1.4363948499956052,0.503256116032824
3,1.757116252011425,1.3092501942350083,0.5432963854713099
4,1.3220994969847886,1.3036265503458615,0.5092822478632845
5,1.3057484134217168,1.293044385038504,0.5323745078678616
6,1.2975130635059149,1.2839719502865767,0.5301269785515041
7,1.2907128040813556,1.2864476560043687,0.555603297607194
8,1.2750869504508482,1.2792166183475686,0.578407062067096
9,1.2563283961877179,1.2499678367827118,0.6047338794483254
10,1.233614347755334,1.2296454182692937,0.6245254877742862
11,1.2104876210068582,1.2298223844596319,0.6295781053780755
12,1.1952225583159273,1.201072517563315,0.6542293008123717
13,1.178180117219974,1.195395923211795,0.6607827137759067
14,1.1658599940143597,1.1991454871261822,0.6610349541539061
15,1.146603245443853,1.1976941833976937,0.6625137477689435
16,1.1370731041170776,1.1989319319484615,0.663501468963455
17,1.1283041923950723,1.1902074976628567,0.6681117479550017
18,1.1223654565895484,1.1920870259529401,0.6695267071109013
19,1.1174795133124593,1.1884937499250685,0.6694739565130872
20,1.1154960390072544,1.1931044346645099,0.6675469896769316
